100	20130105	0900
100	20130106	1300
100	20130107	1600
100	20130108	1300
100	20130109	1600
101	20130105	0900
101	20130106	1300
101	20130107	1600
101	20130108	1300
101	20130109	1600
102	20130105	0900
102	20130106	1300
102	20130107	1600
102	20130108	1300
102	20130109	1600
103	20130105	0900
103	20130106	1300
103	20130107	1600
103	20130108	1300
103	20130109	1600
104	20130105	0900
104	20130106	1300
104	20130107	1600
104	20130108	1300
104	20130109	1600
105	20130105	0900
105	20130106	1300
105	20130107	1600
105	20130108	1300
105	20130109	1600
106	20130105	0900
106	20130106	1300
106	20130107	1600
106	20130108	1300
106	20130109	1600
